id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
116,Vermont Teddy Bear Company,https://www.linkedin.com/sales/accounts/insights?companyId=45471,http://www.vermonteddybear.com,"Burlington, Vermont Area",Consumer Goods,201-500,105 employees on LinkedIn,45471
117,Neill,https://www.linkedin.com/sales/accounts/insights?companyId=29431,http://neill.com,"Baton Rouge, Louisiana Area",Consumer Goods,201-500,196 employees on LinkedIn,29431
118,"Kolcraft Enterprises, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=3204349,https://www.kolcraft.com,Greater Chicago Area,Consumer Goods,201-500,81 employees on LinkedIn,3204349
119,Battery Systems,https://www.linkedin.com/sales/accounts/insights?companyId=952694,http://www.batterysystems.net,"Orange County, California Area",Consumer Goods,201-500,171 employees on LinkedIn,952694
120,"Nite Ize, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=1009924,http://www.niteize.com,Greater Denver Area,Consumer Goods,201-500,117 employees on LinkedIn,1009924
122,"Mason Companies, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=42792,http://www.masoncompaniesinc.com/,"Eau Claire, Wisconsin Area",Consumer Goods,201-500,178 employees on LinkedIn,42792
123,Naked Juice,https://www.linkedin.com/sales/accounts/insights?companyId=39221,http://www.nakedjuice.com,Greater Los Angeles Area,Consumer Goods,201-500,84 employees on LinkedIn,39221
124,Identity Group,https://www.linkedin.com/sales/accounts/insights?companyId=636832,http://www.identitygroup.com,"Greater Nashville Area, TN",Consumer Goods,201-500,133 employees on LinkedIn,636832
125,Zak Designs,https://www.linkedin.com/sales/accounts/insights?companyId=66422,http://www.zak.com,"Spokane, Washington Area",Consumer Goods,201-500,160 employees on LinkedIn,66422
126,Chuck,https://www.linkedin.com/sales/accounts/insights?companyId=1124872,http://www.chuckanddons.com/,Greater Minneapolis-St. Paul Area,Consumer Goods,201-500,116 employees on LinkedIn,1124872
127,Border Foods Inc,https://www.linkedin.com/sales/accounts/insights?companyId=688137,http://borderfoodsinc.com,Dallas/Fort Worth Area,Consumer Goods,201-500,92 employees on LinkedIn,688137
128,Irwin Naturals,https://www.linkedin.com/sales/accounts/insights?companyId=31991,http://www.irwinnaturals.com/,Greater Los Angeles Area,Consumer Goods,201-500,91 employees on LinkedIn,31991
129,Magnum Magnetics,https://www.linkedin.com/sales/accounts/insights?companyId=1709500,http://www.magnummagnetics.com,"Parkersburg, West Virginia Area",Consumer Goods,201-500,68 employees on LinkedIn,1709500
130,"Cannon Safe, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2435208,http://www.cannonsafe.com,"Las Vegas, Nevada Area",Consumer Goods,201-500,73 employees on LinkedIn,2435208
131,Apothecary Products,https://www.linkedin.com/sales/accounts/insights?companyId=3680164,http://www.apothecaryproducts.com,Greater Minneapolis-St. Paul Area,Consumer Goods,201-500,115 employees on LinkedIn,3680164
132,Basic Research,https://www.linkedin.com/sales/accounts/insights?companyId=19959,http://www.basicresearch.org,United States,Consumer Goods,201-500,180 employees on LinkedIn,19959
133,Bruno Independent Living Aids,https://www.linkedin.com/sales/accounts/insights?companyId=1141578,http://www.bruno.com/,United States,Consumer Goods,201-500,189 employees on LinkedIn,1141578
134,"Apex International Mfg, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2295825,http://www.trustapexinternational.com,Greater Minneapolis-St. Paul Area,Consumer Goods,201-500,95 employees on LinkedIn,2295825
135,Shur-Line,https://www.linkedin.com/sales/accounts/insights?companyId=122855,http://www.shurline.com,Greater Milwaukee Area,Consumer Goods,201-500,52 employees on LinkedIn,122855
136,Stag Parkway,https://www.linkedin.com/sales/accounts/insights?companyId=122310,http://www.stagparkway.com,United States,Consumer Goods,201-500,105 employees on LinkedIn,122310
138,Bradshaw International,https://www.linkedin.com/sales/accounts/insights?companyId=98296,http://www.bradshawintl.com/,Greater Los Angeles Area,Consumer Goods,201-500,158 employees on LinkedIn,98296
139,E,https://www.linkedin.com/sales/accounts/insights?companyId=451505,http://www.erindustrial.com,Greater Detroit Area,Consumer Goods,201-500,155 employees on LinkedIn,451505
140,OASIS International Water-Friendly Solutions,https://www.linkedin.com/sales/accounts/insights?companyId=1876185,http://www.oasiscoolers.com,"Columbus, Ohio Area",Consumer Goods,201-500,79 employees on LinkedIn,1876185
141,Absopure Water Company,https://www.linkedin.com/sales/accounts/insights?companyId=1131666,http://www.absopure.com,Greater Detroit Area,Consumer Goods,201-500,185 employees on LinkedIn,1131666
142,Fragrance.com,https://www.linkedin.com/sales/accounts/insights?companyId=946010,http://www.Fragrance.com,United States,Consumer Goods,201-500,75 employees on LinkedIn,946010
144,Pentel of America,https://www.linkedin.com/sales/accounts/insights?companyId=105137,http://www.pentel.com,Greater Los Angeles Area,Consumer Goods,201-500,111 employees on LinkedIn,105137
146,CAR-FRESHNER Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=98496,http://www.littletrees.com,"Syracuse, New York Area",Consumer Goods,201-500,153 employees on LinkedIn,98496
147,Minka Group,https://www.linkedin.com/sales/accounts/insights?companyId=260464,http://www.minkagroup.net,Greater Los Angeles Area,Consumer Goods,201-500,112 employees on LinkedIn,260464
148,Multi-Pack Solutions,https://www.linkedin.com/sales/accounts/insights?companyId=949220,http://go.multipacksolutions.com/LI,Greater Chicago Area,Consumer Goods,201-500,103 employees on LinkedIn,949220
150,"Figi's Companies, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=90090,https://www.figis.com/,"Wausau, Wisconsin Area",Consumer Goods,201-500,152 employees on LinkedIn,90090
151,"Franco Manufacturing Co., inc.",https://www.linkedin.com/sales/accounts/insights?companyId=468875,http://www.francomfg.com,Greater New York City Area,Consumer Goods,201-500,127 employees on LinkedIn,468875
152,Rollease Acmeda,https://www.linkedin.com/sales/accounts/insights?companyId=155221,http://www.rolleaseacmeda.com/us,Greater New York City Area,Consumer Goods,201-500,60 employees on LinkedIn,155221
153,Stanley Infrastructure,https://www.linkedin.com/sales/accounts/insights?companyId=4005765,http://www.stanleyhydraulics.com,"Portland, Oregon Area",Consumer Goods,201-500,53 employees on LinkedIn,4005765
154,Pilot Corporation of America,https://www.linkedin.com/sales/accounts/insights?companyId=105387,http://pilotpen.us,"Jacksonville, Florida Area",Consumer Goods,201-500,116 employees on LinkedIn,105387
155,Waxman Consumer Products,https://www.linkedin.com/sales/accounts/insights?companyId=157202,http://www.waxmancpg.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,73 employees on LinkedIn,157202
156,Mt Baker Vapor LLC,https://www.linkedin.com/sales/accounts/insights?companyId=3681952,http://www.mtbakervapor.com,"Phoenix, Arizona Area",Consumer Goods,201-500,84 employees on LinkedIn,3681952
157,Kidde,https://www.linkedin.com/sales/accounts/insights?companyId=42444,http://www.kidde.com/,"Greensboro/Winston-Salem, North Carolina Area",Consumer Goods,201-500,169 employees on LinkedIn,42444
158,Hubbardton Forge,https://www.linkedin.com/sales/accounts/insights?companyId=831950,http://www.hubbardtonforge.com,"Glens Falls, New York Area",Consumer Goods,201-500,110 employees on LinkedIn,831950
159,The Magnet Group,https://www.linkedin.com/sales/accounts/insights?companyId=283342,http://www.themagnetgroup.com,Greater Atlanta Area,Consumer Goods,201-500,110 employees on LinkedIn,283342
160,Disguise,https://www.linkedin.com/sales/accounts/insights?companyId=42301,http://www.disguise.com,Greater San Diego Area,Consumer Goods,201-500,68 employees on LinkedIn,42301
