name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
Conceptopolis,https://www.linkedin.com/sales/accounts/insights?companyId=615287,http://www.conceptopolis.com,"Cincinnati, Ohio Area",Design,4 employees on LinkedIn,615287
Satellite // Innovation,https://www.linkedin.com/sales/accounts/insights?companyId=2325206,http://satelliteid.com/,United States,Design,3 employees on LinkedIn,2325206
International Center for Creativity,https://www.linkedin.com/sales/accounts/insights?companyId=840126,http://www.iccreativity.com,"Columbus, Ohio Area",Design,16 employees on LinkedIn,840126
"Samson Design Associates, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=3309252,http://www.samsondesign.com,Greater Denver Area,Design,5 employees on LinkedIn,3309252
Shea Latone Design Development,https://www.linkedin.com/sales/accounts/insights?companyId=1527403,http://www.shealatone.com,Greater Philadelphia Area,Design,10 employees on LinkedIn,1527403
Zukun Plan LLC,https://www.linkedin.com/sales/accounts/insights?companyId=2986089,http://www.zukun.com,"Columbus, Ohio Area",Design,17 employees on LinkedIn,2986089
Montie Design,https://www.linkedin.com/sales/accounts/insights?companyId=2217588,http://www.montie.com,"Raleigh-Durham, North Carolina Area",Design,3 employees on LinkedIn,2217588
Metropolis Design,https://www.linkedin.com/sales/accounts/insights?companyId=2749430,http://www.metropolisdesign.com,Greater Salt Lake City Area,Design,20 employees on LinkedIn,2749430
Kollabra Consulting,https://www.linkedin.com/sales/accounts/insights?companyId=3880828,http://www.kollabra.com,"Sacramento, California Area",Mechanical or Industrial Engineering,11 employees on LinkedIn,3880828
Trigon Mechanical Design,https://www.linkedin.com/sales/accounts/insights?companyId=1000014,http://www.trigonmech.com/,Greater Chicago Area,Mechanical or Industrial Engineering,1 employees on LinkedIn,1000014
Metaform Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=221628,http://www.metaformdesign.com,San Francisco Bay Area,Design,1 employees on LinkedIn,221628
Mean Design Studio,https://www.linkedin.com/sales/accounts/insights?companyId=3360482,http://www.meandesignstudio.com,,Design,1 employees on LinkedIn,3360482
Pro Solid Design,https://www.linkedin.com/sales/accounts/insights?companyId=2401096,http://www.prosoliddesign.com,,Mechanical or Industrial Engineering,1 employees on LinkedIn,2401096
Jakes Cafe,https://www.linkedin.com/sales/accounts/insights?companyId=1994128,http://www.jakescafe.net,"Sheboygan,Wisconsin Area",Design,11 employees on LinkedIn,1994128
DesignThink,https://www.linkedin.com/sales/accounts/insights?companyId=490617,http://www.designthinkstudios.com,Greater Philadelphia Area,Design,11 employees on LinkedIn,490617
Objex Design,https://www.linkedin.com/sales/accounts/insights?companyId=3940476,http://www.objexdesign.com,Greater St. Louis Area,Design,7 employees on LinkedIn,3940476
