id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
104,Pioneer Electronics,https://www.linkedin.com/sales/accounts/insights?companyId=165475,http://www.pioneerelectronics.com,United States,Consumer Electronics,10001,"1,089 employees on LinkedIn",165475
105,Browning,https://www.linkedin.com/sales/accounts/insights?companyId=54279,http://www.browning.com,Greater Salt Lake City Area,Sporting Goods,201-500,283 employees on LinkedIn,54279
106,Pinnacle Foods,https://www.linkedin.com/sales/accounts/insights?companyId=917489,http://www.pinnaclefoods.com,Greater New York City Area,Food,1001-5000,"1,809 employees on LinkedIn",917489
107,Skullcandy Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=252846,http://www.skullcandy.com,Greater Salt Lake City Area,Consumer Electronics,201-500,270 employees on LinkedIn,252846
108,Reinhart Foodservice,https://www.linkedin.com/sales/accounts/insights?companyId=77105,http://www.rfsdelivers.com,Greater Chicago Area,Food,1001-5000,"2,213 employees on LinkedIn",77105
109,Centerplate,https://www.linkedin.com/sales/accounts/insights?companyId=162960,http://centerplate.com/,United States,Food,1001-5000,"3,102 employees on LinkedIn",162960
110,Control4,https://www.linkedin.com/sales/accounts/insights?companyId=16852,http://www.control4.com/,Greater Salt Lake City Area,Consumer Electronics,501-1000,588 employees on LinkedIn,16852
111,Warrior Sports,https://www.linkedin.com/sales/accounts/insights?companyId=86432,http://www.warrior.com,Greater Detroit Area,Sporting Goods,201-500,182 employees on LinkedIn,86432
112,Chartwells Higher Education Dining Services,https://www.linkedin.com/sales/accounts/insights?companyId=976519,http://www.ChartwellsHigherEd.com,Greater New York City Area,Food,10001,"3,316 employees on LinkedIn",976519
113,KeHE Distributors,https://www.linkedin.com/sales/accounts/insights?companyId=1122744,http://kehe.com,Greater Chicago Area,Food,5001-10000,"1,980 employees on LinkedIn",1122744
114,The Chefs'​ Warehouse,https://www.linkedin.com/sales/accounts/insights?companyId=107699,http://www.chefswarehouse.com,Greater New York City Area,Food,1001-5000,596 employees on LinkedIn,107699
115,Shamrock Foods Company,https://www.linkedin.com/sales/accounts/insights?companyId=30881,http://www.shamrockfoods.com,"Phoenix, Arizona Area",Food,1001-5000,"1,785 employees on LinkedIn",30881
116,Nytec,https://www.linkedin.com/sales/accounts/insights?companyId=357459,http://www.nytec.com,Greater Seattle Area,Consumer Electronics,201-500,156 employees on LinkedIn,357459
117,Organic Valley,https://www.linkedin.com/sales/accounts/insights?companyId=1102416,http://www.organicvalley.coop,"La Crosse, Wisconsin Area",Food,501-1000,583 employees on LinkedIn,1102416
118,Epson America Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1344009,https://epson.com/usa,Greater Los Angeles Area,Consumer Electronics,501-1000,863 employees on LinkedIn,1344009
119,Odwalla,https://www.linkedin.com/sales/accounts/insights?companyId=25992,http://www.odwalla.com,United States,Food,501-1000,176 employees on LinkedIn,25992
120,Targus,https://www.linkedin.com/sales/accounts/insights?companyId=8780,http://www.targus.com,"Orange County, California Area",Consumer Electronics,501-1000,539 employees on LinkedIn,8780
121,Universal Electronics,https://www.linkedin.com/sales/accounts/insights?companyId=10294,http://www.uei.com,"Orange County, California Area",Consumer Electronics,1001-5000,860 employees on LinkedIn,10294
122,"Casey's General Stores, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=1374310,http://www.caseys.com,"Des Moines, Iowa Area",Food,10001,"3,393 employees on LinkedIn",1374310
123,AMX by HARMAN,https://www.linkedin.com/sales/accounts/insights?companyId=162450,http://www.amx.com,Dallas/Fort Worth Area,Consumer Electronics,10001,373 employees on LinkedIn,162450
